Comment,Designator,Footprint,LCSC
10u 1206 25V,C1,Capacitor_SMD:C_1206_3216Metric,
22p 0805,"C10,C11",Capacitor_SMD:C_0805_2012Metric,
10n 0805,"C21,C22",Capacitor_SMD:C_0805_2012Metric,
"1.5n, 16V, 0805",C23,Capacitor_SMD:C_0805_2012Metric,
10u 0805,"C2,C3,C4,C5,C6,C8,C24",Capacitor_SMD:C_0805_2012Metric,
"100n, 16V, 0805","C9,C20,C30",Capacitor_SMD:C_0805_2012Metric,
1N4148,D4,Diode_SMD:D_SOD-323_HandSoldering,C402214
BLM21PG331SN1D,"FB1,FB2,FB3",Inductor_SMD:L_0805_2012Metric,C74764
300 0805,"R11,R12,R13",Resistor_SMD:R_0805_2012Metric,
10k 0805,"R14,R15,R22,R27",Resistor_SMD:R_0805_2012Metric,
2k 0805,R21,Resistor_SMD:R_0805_2012Metric,
1.8k 0805,R23,Resistor_SMD:R_0805_2012Metric,
18k 0805,R24,Resistor_SMD:R_0805_2012Metric,
5.1k 0805,R25,Resistor_SMD:R_0805_2012Metric,
3k  0805,R26,Resistor_SMD:R_0805_2012Metric,
1ohm 0805,"R1,R2,R3",Resistor_SMD:R_0805_2012Metric,
220 0805,R30,Resistor_SMD:R_0805_2012Metric,
1k 0805,"R20,R31",Resistor_SMD:R_0805_2012Metric,
ATmega328-AU,U1,Package_QFP:TQFP-32_7x7mm_P0.8mm,C14877
MCP4921,U2,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,
TL431DBZ,U3,Package_TO_SOT_SMD:SOT-23,C571350
MCP601,U4,Package_TO_SOT_SMD:SOT-23-5,C128440
L78L05_SO8,U6,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,C460418
