Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u/25V,C_1206_3216Metric,132.6,-69.6,90,top
C2,10u,C_0805_2012Metric,122.301,-73.152,0,top
C3,10u,C_0805_2012Metric,122.301,-75.184,0,top
C4,10u,C_0805_2012Metric,131.9,-80.5,180,top
C5,10u,C_0805_2012Metric,145.8,-86.5,180,top
C6,10u,C_0805_2012Metric,143.5,-82.1,180,top
C8,10u,C_0805_2012Metric,145.4,-71.8,0,top
C9,100n,C_0805_2012Metric,131.6,-75,90,top
C10,22p,C_0805_2012Metric,127,-79.248,270,top
C11,22p,C_0805_2012Metric,127,-75.565,90,top
C20,100n,C_0805_2012Metric,151.6,-82.8,0,top
C21,10n,C_0805_2012Metric,149.8,-79.6,270,top
C22,10n,C_0805_2012Metric,155.4,-78.2,180,top
C23,1.5n,C_0805_2012Metric,158.6,-81.2,270,top
C24,10u,C_0805_2012Metric,157.734,-85.725,0,top
C30,100n,C_0805_2012Metric,157.6,-67.4,180,top
D4,1N4148,D_SOD-323_HandSoldering,152.4,-70.2,0,top
FB1,BLM21PG331SN1D,L_0805_2012Metric,134.8,-82.8,270,top
FB2,BLM21PG331SN1D,L_0805_2012Metric,148.6,-87.5,270,top
FB3,BLM21PG331SN1D,L_0805_2012Metric,146.3,-83.4,270,top
R1,1,R_0805_2012Metric,131.9,-82.6,180,top
R2,1,R_0805_2012Metric,145.8,-88.5,180,top
R3,1,R_0805_2012Metric,143.5,-84.1,180,top
R11,300,R_0805_2012Metric,142.8,-62.2,270,top
R12,300,R_0805_2012Metric,140.6,-62.2,270,top
R13,300,R_0805_2012Metric,138.4,-62.2,270,top
R14,10k,R_0805_2012Metric,138.2,-85.2,180,top
R15,10k,R_0805_2012Metric,138.2,-83.2,0,top
R20,1k,R_0805_2012Metric,148.2,-70.5,270,top
R21,2k,R_0805_2012Metric,148.1,-66.9,270,top
R22,10k,R_0805_2012Metric,145.3,-66.1,0,top
R23,1.8k,R_0805_2012Metric,150.4,-75.8,0,top
R24,18k,R_0805_2012Metric,152.2,-79.6,270,top
R25,5.1k,R_0805_2012Metric,154.016,-75.838,0,top
R26,3k,R_0805_2012Metric,157.572,-75.838,180,top
R27,10k,R_0805_2012Metric,153.4,-85.725,180,top
R30,220,R_0805_2012Metric,152.8,-67.4,0,top
R31,1k,R_0805_2012Metric,157.6,-70,0,top
U1,ATmega328-AU,TQFP-32_7x7mm_P0.8mm,138.2,-75.6,0,top
U2,MCP4921,SOIC-8_3.9x4.9mm_P1.27mm,146.2,-76.8,90,top
U3,TL431DBZ,SOT-23,145.2,-68.918,180,top
U4,MCP601,SOT-23-5,155.4,-81.2,180,top
U6,L78L05_SO8,SOIC-8_3.9x4.9mm_P1.27mm,127.4,-70,0,top
